0.326193,0.330672,0.331361,0.333819,0.335414,0.335753,0.336021,0.334558,0.334957,0.992749,0.995982,0.996794,0.996497,0.996151,0.993899,0.99218,0.991856,0.989771,0.990346,0.981253,0.997511,0.996611,0.995611,0.985219,0.96858,0.965991,0.952813,0.932097,0.867666,0.884581,0.82841,0.775883,0.648329,0.687559,0.657883,0.577864,0.529006,0.521696,0.487191,0.43764,0.382935,0.372739,0.368152,0.358421,0.348692,0.341588,0.335058,0.33181,0.330017,0.327836,0.327539,0.327571,0.328063,0.327567,0.327619,0.81494,0.815062,0.814988,0.815142,0.81498,0.815006,0.814827,0.814855,0.814823,0.814822,0.814827,0.814785,0.814747,0.814686,0.814663,0.814656,0.814598,0.814593,0.814585,0.814613,0.814632,0.814633,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288707651,0.582735024,0.703798039,0.663391568,0.523300262,0.79257275,0.888602987,0.937564438,0.852944101,0.848937113,0.742333586,0.545670827,0.839511122,0.850176519,0.818196553,0.799007904,0.863729637,0.781816978,0.568231612,0.834186915,0.876187798,0.912498108,0.922462861,0.913279528,0.839498979,0.660727781,0.94777711,0.989728111,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4324,8623,9587,12014,15695,18661,21127,23345,25856,29837,32362,36359,42062,49937,53826,60761,73154,86011,97488,109170,124899,137962,148657,165541,182777,206886,233222,258402,275468,296964,324445,361060,394079,429526,454030,477359,506968,541423,581232,619849,657224,691461,721732,755445,807125
0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,53,55,65,65,53,50,48,44,54,61,66,54,54,45,48,47,46,55,54,49,53,44,46,62,63,52,52,51,45,54,54,65,60,61,59,60,55,67,86,71,61,66,77,74,81,103,142,166,169,183,211,250,218,187,179,185,180,198,215,223,183,182,186,182,176,212,210,183,169,165,175,203,210,205,171,166,174
435,482,528,408,481,511,434,443,481,529,412,491,506,426,420,476,508,410,489,515,444,449,489,539,420,493,531,450,453,490,530,422,485,508,325,443,485,514,398,475,509,440,442,480,522,407,473,455,368,240,149,120,84,80,71,65,65,64,51,48,54,61,64,65,62,49,45,48,46,56,57,70,59,47,56,58,70,70
483,562,680,545,687,639,487,482,566,679,568,690,644,517,530,598,694,609,667,633,550,555,631,733,647,731,706,598,575,647,739,655,735,706,570,569,637,730,647,736,691,579,550,602,692,621,653,545,359,219,213,225,71,68,55,41,39,42,41,40,42,30,24,31,31,33,31,29,22,17,24,25,27,27,26,23,15,19
11,13,11,10,12,12,13,12,13,11,12,13,16,15,9,8,12,13,11,13,15,15,13,15,15,15,13,14,12,10,15,15,16,19,13,12,11,11,12,11,14,11,11,10,13,11,10,12,12,17,15,18,15,12,15,17,16,20,18,19,15,5,6,7,7,13,14,17,15,5,8,12,14,15,15,18,17,19
81,82,85,94,90,86,90,80,85,94,94,90,86,70,47,49,55,73,75,91,79,69,76,71,57,60,67,81,84,66,63,68,74,81,88,67,55,60,72,92,89,80,83,76,84,84,72,67,70,64,85,85,88,75,70,72,71,70,69,69,79,58,63,75,92,85,82,79,85,82,58,63,70,61,71,69,60,58
86,134,117,135,134,111,147,137,200,244,144,107,80,63,48,46,51,49,46,51,55,52,51,39,47,38,39,32,35,29,242,396,543,487,371,283,224,185,186,184,179,189,272,260,287,375,444,501,462,493,491,463,453,538,456,510,475,508,456,463,453,400,456,421,404,380,402,399,358,336,328,313,354,335,329,299,294,
0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,12462,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63927,69176,74386,80589,86498,92472,97689,101739,105792,110574,115242,119827,124632,128948,132547,135586,139422
0,0,0,0,0,0,0,1,1,-1.43E-16,-1.43E-16,-1.43E-16,-1.43E-16,-1.43E-16,0.5,0.5,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,-3.34E-16,8.5,29.5,67.5,83.5,83.5,112,166.5,217.5,236.5,403,454,404,526.5,678,773.5,1012.5,1369.5,1644.5,1387,1645,1156.5,2599,4347.5,3543.5,3411.5,3379.5,3866.5,4764.5,5654,6271.5,6058.5,5174.5,5019,5229.5,5706.5,6056,5941.5,5595.5,4633.5,4051.5,4417.5,4725,4626.5,4695,4560.5,3957.5,3319,3437.5,,
