0.32619300000000001,0.33067200000000002,0.33136100000000002,0.33381899999999998,0.33541399999999999,0.33575300000000002,0.33602100000000001,0.33455800000000002,0.334957,0.99274899999999999,0.99598200000000003,0.99679399999999996,0.99649699999999997,0.99615100000000001,0.99389899999999998,0.99217999999999995,0.99185599999999996,0.98977099999999996,0.99034599999999995,0.98125300000000004,0.99751100000000004,0.99661100000000002,0.99561100000000002,0.98521899999999996,0.96858,0.96599100000000004,0.95281300000000002,0.93209699999999995,0.86766600000000005,0.88458099999999995,0.82840999999999998,0.77588299999999999,0.64832900000000004,0.68755900000000003,0.657883,0.57786400000000004,0.52900599999999998,0.52169600000000005,0.48719099999999999,0.43763999999999997,0.38293500000000003,0.37273899999999999,0.36815199999999998,0.35842099999999999,0.348692,0.341588,0.33505800000000002,0.33180999999999999,0.330017,0.32783600000000002,0.32753900000000002,0.327571,0.32806299999999999,0.327567,0.32761899999999999,0.81494,0.81506199999999995,0.81498800000000005,0.81514200000000003,0.81498000000000004,0.81500600000000001,0.81482699999999997,0.814855,0.81482299999999996,0.81482200000000005,0.81482699999999997,0.81478499999999998,0.814747,0.81468600000000002,0.81466300000000003,0.81465600000000005,0.81461099999999997,0.81460600000000005,0.81459800000000004,0.81461899999999998,0.81463799999999997,0.81463699999999994,0.81462999999999997,0.81462000000000001,0.81464499999999995,0.81467800000000001,0.81469999999999998,0.81465799999999999,0.814612,0.81479500000000005,0.81478200000000001,0.81477599999999994,0.81451099999999999,0.81451899999999999,0.81451799999999996,0.81451799999999996,0.81449800000000006,0.81449199999999999,0.81449199999999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28870765059999998,0.58273502430000002,0.70379803949999997,0.66339156779999997,0.52330026230000004,0.79257274960000001,0.88860298709999996,0.93756443820000002,0.85294410060000003,0.84893711260000004,0.74233358559999996,0.54567082710000003,0.83951112230000002,0.85017651949999995,0.81819655329999996,0.79900790369999997,0.86372963670000003,0.78181697770000003,0.56823161200000005,0.83418691450000004,0.87618779849999995,0.91249810760000005,0.92246286119999998,0.91327952779999999,0.83949897920000005,0.66072778089999995,0.94777711040000001,0.9897281108,1,1.021434897,0.99828120590000002,0.94238018570000004,0.67671986319999999,0.75381483549999995,0.95385374280000002,1.015407862,1.0164926089999999,1.015413143,0.91320063579999999,0.6885659006,0.8921889019,0.99525244180000005,0.96726123129999997,1.0350071320000001,0.99797259270000005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4324,8623,9587,12014,15695,18661,21127,23345,25856,29837,32362,36359,42062,49937,53826,60761,73154,86011,97488,109170,124899,137962,148657,165541,182777,206886,233222,258402,275468,296964,324445,361060,394079,429526,454030,477359,506968,541423,581232,619849,657224,691461,721732,755445,807125,853369,906864,963473,1010193,1046910,1073689,1117404,1178403,1244108,1305833,1356541,1398024,1450150,1513251,1579909,1642356
0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,53,55,65,65,53,50,48,44,54,61,66,54,54,45,48,47,46,55,54,49,53,44,46,62,63,52,52,51,45,54,54,65,60,61,59,60,55,67,86,71,61,66,77,74,81,103,142,166,169,183,211,250,218,187,179,185,180,198,215,223,183,182,186,182,176,212,210,183,169,165,175,203,210,205,171,166,174,158,154,164,192,176,141,153,142,151,165,170,151,148,151,147,0
435,482,528,408,481,511,434,443,481,529,412,491,506,426,420,476,508,410,489,515,444,449,489,539,420,493,531,450,453,490,530,422,485,508,325,443,485,514,398,475,509,440,442,480,522,407,473,455,368,240,149,120,84,80,71,65,65,64,51,48,54,61,64,65,62,49,45,48,46,56,57,70,59,47,56,58,70,70,71,56,45,22,28,53,62,59,46,27,29,60,60,63,61,38
483,562,680,545,687,639,487,482,566,679,568,690,644,517,530,598,694,609,667,633,550,555,631,733,647,731,706,598,575,647,739,655,735,706,570,569,637,730,647,736,691,579,550,602,692,621,653,545,359,219,213,225,71,68,55,41,39,42,41,40,42,30,24,31,31,33,31,29,22,17,24,25,27,27,26,23,15,19,20,22,17,18,19,11,18,12,20,15,15,22,15,16,14,21
11,13,11,10,12,12,13,12,13,11,12,13,16,15,9,8,12,13,11,13,15,15,13,15,15,15,13,14,12,10,15,15,16,19,13,12,11,11,12,11,14,11,11,10,13,11,10,12,12,17,15,18,15,12,15,17,16,20,18,19,15,5,6,7,7,13,14,17,15,5,8,12,14,15,15,18,17,19,19,21,23,21,19,14,15,17,21,23,22,14,13,13,18,20
81,82,85,94,90,86,90,80,85,94,94,90,86,70,47,49,55,73,75,91,79,69,76,71,57,60,67,81,84,66,63,68,74,81,88,67,55,60,72,92,89,80,83,76,84,84,72,67,70,64,85,85,88,75,70,72,71,70,69,69,79,58,63,75,92,85,82,79,85,82,58,63,70,61,71,69,60,58,49,53,52,41,55,84,59,55,70,80,76,97,92,91,75,67
86,134,117,135,134,111,147,137,200,244,144,107,80,63,48,46,51,49,46,51,55,52,51,39,47,38,39,32,35,29,242,396,543,487,371,283,224,185,186,184,179,189,272,260,287,375,444,501,462,493,491,463,453,538,456,510,475,508,456,463,453,400,456,421,404,380,402,399,358,336,328,313,354,335,329,299,294,287,302,298,243,274,294,289,278,263,272,269,285,271,266,235,245,240
